scene.joint.inertia,scene.joint.damping,controller.kp,controller.kd,actuator.torque_limit,total_cost
1.0299264801188182,5.75263686608859,253.7387403518082,3.256944653638376,38.67009305661312,0.010246568419928919
1.112292623300043,2.905893250179463,256.75433441967175,3.7756997133454306,44.10848690889605,0.011605508003973275
1.3957888681955406,1.9509217665425438,257.01941374581304,7.875449075895482,74.1413348799579,0.015112206061051209
1.704385711242309,0.3500527951576049,293.9986020124735,10.12296621480255,188.1442239394435,0.01799704946431114
1.0658081064883358,4.537154175754717,182.02261066905854,1.9835692335808397,353.8719150875724,0.01807877539662312
1.3333405572805408,1.5161121452753434,226.29864414308543,8.434444187166651,121.80918192578268,0.018087460956525775
1.3227010126151275,2.645206985452897,217.531852625249,6.853425491206638,232.20037111864497,0.018387766511707086
1.6557501023021062,0.42415916009097776,298.7550750856904,10.374053051750234,203.84948635158693,0.018478302215113793
1.160057851595811,2.127388056720061,197.36415459345747,4.484897382151312,63.027007144360645,0.01857388049224621
1.1229993928539452,4.878610998043328,196.02228325477148,3.9219860078644153,311.83845042115894,0.018651581998648723
1.189334995912058,8.312208786251626,279.6119943790706,4.726202563557706,48.300611666273355,0.01877454609218713
1.2927040443293578,7.01328140023003,237.6484070651986,2.516549153304528,124.01056911947114,0.018829361963078578
1.2867690977129478,6.301563415184987,237.51477602637218,2.7218444649988105,206.32430648831206,0.018964167929587036
1.0624355066074465,3.7159228502401866,195.42425465217335,4.200666037846686,198.18418475049188,0.019020068339052516
1.6815257465861635,1.5426729089372504,299.2393568601308,13.40132163845735,75.79594959084201,0.01928214129765069
0.9912331670129568,3.78712574774259,164.26116633585784,2.028571192742432,244.94973269460866,0.019314577717818002
1.5115550401958981,7.823708141132708,276.10932317328303,4.108023731053327,451.5756849051414,0.01935267771051245
1.4772085146702403,2.879117849938506,264.4172279592593,9.126132480320608,353.1551044649879,0.019594437813888158
1.6804237808682352,5.13684484014597,285.7925970719834,8.454445376322843,195.75643527162924,0.019651168973746712
1.7024254171007729,1.7145911046818008,287.7513766089724,11.99734290307079,490.89378848022386,0.01968441450029958
1.0932566235558592,1.7384981644645003,196.4489186270314,7.305935559820953,330.1349078128564,0.020056468088915227
1.5867576192358557,2.8840853355966933,290.87149712810015,9.97854037988678,345.9080829627382,0.020072462323974884
1.6464385269992157,1.0553887064399858,288.275482597159,12.711702122028917,416.0665823912045,0.02020743994944276
1.1662063557690991,3.2543619991542636,184.22065081216965,5.194015381805961,278.79606618580243,0.020363469032410722
1.2987930995709367,9.08411445212606,248.16271673536784,1.428196737116283,91.30216671815509,0.02088521844683064
0.9630525439213079,2.425931818457415,181.71605868955558,4.090262859557874,458.41196520084264,0.02091288311612457
1.1728091789566006,3.8995066885532137,224.76389454635776,4.718761583492173,217.20580925661406,0.021623401143954238
1.4965883453529365,6.040528733977501,261.6131226595433,2.1266131749449535,271.8442414609973,0.02181814955394494
1.3780590746559993,8.267686093418332,240.05907171411363,3.9732743925450653,213.10324803086957,0.02192161585623848
1.7299596837137012,1.13606876075393,291.02286129079494,8.127732763111993,265.1389321231853,0.022009562602859953
1.5647649615818984,0.8001597189168019,291.794004935883,7.964889463442189,92.20535867400174,0.02207477503641362
1.2722680270868536,5.5087780360995975,245.2372618631518,4.412780750433061,141.7088162148008,0.022126810174457678
1.5821123021861958,4.149424235513451,280.3402697110735,10.154753516193129,412.0692418609334,0.022450983145419184
1.4269180646735533,3.7395940113050097,255.78670030720997,9.828911941326695,77.38123394739121,0.022568698681329925
0.9120333047221482,0.302641322118431,143.12497424895489,7.028816413678538,236.00842501540086,0.022635172118264355
1.5153218765705918,6.254087421450089,228.23717028224408,4.071164767005477,279.1176231518125,0.02321485902573407
1.7080912897548508,9.718196014414858,273.97321876065445,4.849948169400895,415.6326857957819,0.02327802053201968
1.1213091664754384,3.747001673202978,173.67502613552892,2.566912815805067,472.24346057716366,0.023676498087300664
1.5386098849938676,2.4896236050723406,231.59637457517303,8.8592188428584,371.43331615121923,0.023738972714229922
1.7413739783622204,3.525593103084823,299.44702873414167,5.491107201497152,490.21336680519676,0.02388831350134554
1.5247746296178484,1.6860575658290766,229.58063710758162,9.791541812600329,384.1488918816946,0.023997523281864625
1.0814404653788228,4.454580819387985,201.7957751179448,1.747538741803094,260.77588568082126,0.024137772818314217
1.460154073025215,6.513949150091936,279.13793382661214,6.828305787962705,394.82241067504,0.024149809881508846
1.7299217243843075,0.19078323934194175,260.3557224134899,12.988222895044569,123.27262386753034,0.02418323264107945
0.7766234556180075,2.9184735129632102,116.95206825413972,1.6939903385704502,451.5566619796522,0.024478499994722833
1.208179264279999,8.424671345591483,197.43048280530957,2.623171341892092,153.7630805691149,0.024807331900176206
1.136198743741841,6.857994927340121,223.65598350843223,0.9808850155199988,307.13918160747255,0.02480833534880353
1.2966567070435073,9.397511115083134,224.32035687660436,3.0750915443529103,235.0203652774204,0.024892314888950974
1.8730022992243707,6.387805078435224,276.8859218625647,5.527671243154872,219.22186545423062,0.024963427600025952
1.9398433224652374,6.561727570173506,285.31789457408706,6.498309366020321,368.4571564936067,0.025118532507493956
