time,q,dq,q_des,dq_des,tau_des,position_error,velocity_error,tau_cmd,tau_applied,integral_error,is_saturated
0.0,0.7127,0.0,1.1055,0.0,,0.3927999999999999,0.0,99.66856135999998,38.67008066495967,0.0,True
0.002,0.7127748140908773,0.07467505725908209,1.1055,0.0,,0.39272518590912264,-0.07467505725908209,99.406368935852,38.67009999999033,0.0,True
0.004,0.7129981472383164,0.1485206009900841,1.1055,0.0,,0.3925018527616835,-0.1485206009900841,99.10919312197638,38.6701,0.0,True
0.006,0.7133683496099175,0.22154580876194388,1.1055,0.0,,0.39213165039008246,-0.22154580876194388,98.77742265427725,38.6701,0.0,True
0.008,0.7138837896636835,0.2937597935292217,1.1055,0.0,,0.39161621033631644,-0.2937597935292217,98.41144183811817,38.6701,0.0,True
0.01,0.7145428539821044,0.36517156701243497,1.1055,0.0,,0.39095714601789555,-0.36517156701243497,98.01163070968819,38.6701,0.0,True
0.012,0.7153439470708152,0.435790040822629,1.1055,0.0,,0.39015605292918476,-0.435790040822629,97.57836508342731,38.6701,0.0,True
0.014,0.7162854911594912,0.505624027573474,1.1055,0.0,,0.3892145088405087,-0.505624027573474,97.11201659892514,38.6701,0.0,True
0.016,0.7173659260049554,0.5746822419810079,1.1055,0.0,,0.3881340739950445,-0.5746822419810079,96.61295276729845,38.6701,0.0,True
0.018000000000000002,0.7185837086964721,0.6429733019511623,1.1055,0.0,,0.3869162913035278,-0.6429733019511623,96.0815370170537,38.6701,0.0,True
0.02,0.719937313463205,0.7105057296552073,1.1055,0.0,,0.38556268653679493,-0.7105057296552073,95.5181287394398,38.6701,0.0,True
0.022,0.7214252314838125,0.7772879525932497,1.1055,0.0,,0.3840747685161874,-0.7772879525932497,94.92308333329736,38.6701,0.0,True
0.024,0.7230459706981599,0.8433283046459162,1.1055,0.0,,0.38245402930184,-0.8433283046459162,94.29675224940951,38.6701,0.0,True
0.026000000000000002,0.7247980556211214,0.9086350271143551,1.1055,0.0,,0.3807019443788785,-0.9086350271143551,93.6394830343602,38.6701,0.0,True
0.028,0.7266800271584525,0.9732162697486829,1.1055,0.0,,0.37881997284154745,-0.9732162697486829,92.95161937390506,38.6701,0.0,True
0.03,0.7286904424247059,1.0370800917650083,1.1055,0.0,,0.376809557575294,-1.0370800917650083,92.23350113586079,38.6701,0.0,True
0.032,0.7308278745631719,1.1002344628511558,1.1055,0.0,,0.37467212543682804,-1.1002344628511558,91.48546441251774,38.6701,0.0,True
0.034,0.7330909125678177,1.1626872641612194,1.1055,0.0,,0.37240908743218226,-1.1626872641612194,90.70784156258158,38.6701,0.0,True
0.036000000000000004,0.7354781611072054,1.224446289299066,1.1055,0.0,,0.3700218388927945,-1.224446289299066,89.90096125264898,38.6701,0.0,True
0.038,0.7379882403503664,1.2855192452909145,1.1055,0.0,,0.36751175964963356,-1.2855192452909145,89.0651484982225,38.6701,0.0,True
0.04,0.7406197857946086,1.34591375354711,1.1055,0.0,,0.3648802142053913,-1.34591375354711,88.20072470426994,38.6701,0.0,True
0.042,0.7433714480952388,1.4056373508132143,1.1055,0.0,,0.3621285519047611,-1.4056373508132143,87.30800770533305,38.6701,0.0,True
0.044,0.7462418928971745,1.4646974901105303,1.1055,0.0,,0.35925810710282546,-1.4646974901105303,86.3873118051907,38.6701,0.0,True
0.046,0.7492298006684273,1.5231015416661795,1.1055,0.0,,0.35627019933157267,-1.5231015416661795,85.43894781608154,38.6701,0.0,True
0.048,0.7523338665354364,1.5808567938328457,1.1055,0.0,,0.3531661334645635,-1.5808567938328457,84.46322309749064,38.6701,0.0,True
0.05,0.7555528001202308,1.6379704539983033,1.1055,0.0,,0.3499471998797691,-1.6379704539983033,83.46044159450568,38.6701,0.0,True
0.052000000000000005,0.7588853253794003,1.69444964948484,1.1055,0.0,,0.3466146746205996,-1.69444964948484,82.43090387574676,38.6701,0.0,True
0.054,0.7623301804448559,1.75030142843869,1.1055,0.0,,0.34316981955514403,-1.75030142843869,81.37490717087485,38.6701,0.0,True
0.056,0.7658861174663587,1.8055327607095844,1.1055,0.0,,0.3396138825336412,-1.8055327607095844,80.29274540768378,38.6701,0.0,True
0.058,0.7695519024557985,1.8601505387205328,1.1055,0.0,,0.3359480975442014,-1.8601505387205328,79.18470924877995,38.6701,0.0,True
0.06,0.7733263151332018,1.914161578327942,1.1055,0.0,,0.3321736848667981,-1.914161578327942,78.05108612785475,38.6701,0.0,True
0.062,0.7772081487744512,1.9675726196721788,1.1055,0.0,,0.3282918512255487,-1.9675726196721788,76.89216028555381,38.6701,0.0,True
0.064,0.7811962100606954,2.0203903280186855,1.1055,0.0,,0.32430378993930453,-2.0203903280186855,75.70821280494816,38.6701,0.0,True
0.066,0.785289318929433,2.0726212945897515,1.1055,0.0,,0.32021068107056694,-2.0726212945897515,74.4995216466109,38.6701,0.0,True
0.068,0.7894863084272504,2.124272037387044,1.1055,0.0,,0.3160136915727495,-2.124272037387044,73.26636168330455,38.6701,0.0,True
0.07,0.7937860245641952,2.1753490020050013,1.1055,0.0,,0.3117139754358047,-2.1753490020050013,72.00900473428293,38.6701,0.0,True
0.07200000000000001,0.7981873261697677,2.2258585624351914,1.1055,0.0,,0.3073126738302322,-2.2258585624351914,70.72771959921197,38.6701,0.0,True
0.074,0.802689084750512,2.275807021861735,1.1055,0.0,,0.3028109152494879,-2.275807021861735,69.42277209171375,38.6701,0.0,True
0.076,0.8072901843491894,2.325200613447891,1.1055,0.0,,0.2982098156508105,-2.325200613447891,68.09442507253787,38.6701,0.0,True
0.078,0.8119895214055156,2.3740455011139048,1.1055,0.0,,0.2935104785944843,-2.3740455011139048,66.7429384823644,38.6701,0.0,True
0.08,0.8167860046184455,2.4223477803062163,1.1055,0.0,,0.2887139953815544,-2.4223477803062163,65.3685693742423,38.6701,0.0,True
0.082,0.8216785548099877,2.4701134787581216,1.1055,0.0,,0.2838214451900122,-2.4701134787581216,63.97157194566761,38.6701,0.0,True
0.084,0.8266661047905319,2.5173485572419856,1.1055,0.0,,0.278833895209468,-2.5173485572419856,62.55219757030522,38.6701,0.0,True
0.08600000000000001,0.8317475992256721,2.564058910313098,1.1055,0.0,,0.27375240077432783,-2.564058910313098,61.11069482935821,38.6701,0.0,True
0.088,0.8369219945045093,2.610250367045267,1.1055,0.0,,0.2685780054954906,-2.610250367045267,59.647309542588914,38.6701,0.0,True
0.09,0.8421882586094178,2.655928691758238,1.1055,0.0,,0.2633117413905821,-2.655928691758238,58.16228479899509,38.6701,0.0,True
0.092,0.8475453709872572,2.7010995847370376,1.1055,0.0,,0.2579546290127427,-2.7010995847370376,56.65586098714555,38.6701,0.0,True
0.094,0.8529923224220161,2.7457686829433197,1.1055,0.0,,0.25250767757798387,-2.7457686829433197,55.128275825178676,38.6701,0.0,True
0.096,0.8585281149088695,2.7899415607188147,1.1055,0.0,,0.24697188509113044,-2.7899415607188147,53.579764390467716,38.6701,0.0,True
0.098,0.8641517615296368,2.8336237304809617,1.1055,0.0,,0.24134823847036313,-2.8336237304809617,52.01055914895648,38.6701,0.0,True
0.1,0.8698622863296216,2.876820643410813,1.1055,0.0,,0.23563771367037833,-2.876820643410813,50.42088998416935,38.6701,0.0,True
0.10200000000000001,0.8756587241958207,2.919537690133298,1.1055,0.0,,0.22984127580417923,-2.919537690133298,48.81098422589875,38.6701,0.0,True
0.10400000000000001,0.8815401207364859,2.9617802013899293,1.1055,0.0,,0.22395987926351402,-2.9617802013899293,47.18106667857415,38.6701,0.0,True
0.106,0.8875055321620237,3.0035534487040363,1.1055,0.0,,0.21799446783797627,-3.0035534487040363,45.53135964931573,38.6701,0.0,True
0.108,0.8935540251672176,3.044862645038608,1.1055,0.0,,0.21194597483278232,-3.044862645038608,43.862082975676664,38.6701,0.0,True
0.11,0.8996846768147598,3.0857129454468293,1.1055,0.0,,0.2058153231852401,-3.0857129454468293,42.1734540530769,38.6701,0.0,True
0.112,0.9058965744200755,3.1261094477153897,1.1055,0.0,,0.1996034255799244,-3.1261094477153897,40.46568786193251,38.6701,0.0,True
0.114,0.9121888154374278,3.166057193000645,1.1055,0.0,,0.19331118456257212,-3.166057193000645,38.73899699448332,38.6701,0.0,True
