time,q,dq,q_des,dq_des,tau_des,position_error,velocity_error,tau_cmd,tau_applied,integral_error,is_saturated
0.0,0.7127,0.0,1.1055,0.0,,0.3927999999999999,0.0,99.66856135999998,10.197811181434599,0.0,True
0.002,0.71271972946421,0.019692799207966964,1.1055,0.0,,0.3927802705357899,-0.019692799207966964,99.5994177536592,17.70632616523349,0.0,True
0.004,0.7127931519024413,0.053666385364319544,1.1055,0.0,,0.3927068480975586,-0.053666385364319544,99.47013906687894,23.234747535161368,0.0,True
0.006,0.7129448391103994,0.09793839483431643,1.1055,0.0,,0.3925551608896005,-0.09793839483431643,99.28746064428219,27.305251877154678,0.0,True
0.008,0.7131924527208963,0.14957906856899408,1.1055,0.0,,0.39230754727910366,-0.14957906856899408,99.05644297836594,30.302310981280552,0.0,True
0.01,0.7135485712838552,0.20643363981090537,1.1055,0.0,,0.39195142871614475,-0.20643363981090537,98.7809122640771,32.50900639760952,0.0,True
0.012,0.7140220354683242,0.2669179320896397,1.1055,0.0,,0.3914779645316757,-0.2669179320896397,98.46378478589075,34.133767368704056,0.0,True
0.014,0.7146189384646161,0.32986786099281157,1.1055,0.0,,0.3908810615353838,-0.32986786099281157,98.1073057721408,35.33005761957324,0.0,True
0.016,0.7153433551525266,0.3944286245785984,1.1055,0.0,,0.39015664484747337,-0.3944286245785984,97.71322527256955,36.21087048360983,0.0,True
0.018000000000000002,0.7161978789270088,0.4599731160126949,1.1055,0.0,,0.3893021210729911,-0.4599731160126949,97.28292766676162,36.859401474219055,0.0,True
0.02,0.7171840169051202,0.5260418521436881,1.1055,0.0,,0.3883159830948797,-0.5260418521436881,96.81752703146996,37.33690635970981,0.0,True
0.022,0.7183024808615156,0.5922987439793087,1.1055,0.0,,0.3871975191384843,-0.5922987439793087,96.31793737015792,37.688486961052156,0.0,True
0.024,0.7195534013907914,0.6584985313439669,1.1055,0.0,,0.38594659860920855,-0.6584985313439669,95.78492433378823,37.94735115908693,0.0,True
0.026000000000000002,0.7209364855433157,0.7244628057173186,1.1055,0.0,,0.38456351445668424,-0.7244628057173186,95.21914331372953,38.137949482112525,0.0,True
0.028,0.7224511328418711,0.7900623564351419,1.1055,0.0,,0.3830488671581288,-0.7900623564351419,94.62116750050268,38.27828453429804,0.0,True
0.03,0.7240965206551734,0.8552041726961592,1.1055,0.0,,0.38140347934482655,-0.8552041726961592,93.99150855437902,38.38161139761606,0.0,True
0.032,0.7258716670097921,0.9198218735748993,1.1055,0.0,,0.3796283329902078,-0.9198218735748993,93.33063183605636,38.45768961554432,0.0,True
0.034,0.72777547679079,0.983868662027621,1.1055,0.0,,0.3777245232092099,-0.983868662027621,92.63896763186699,38.51370501228896,0.0,True
0.036000000000000004,0.7298067757122139,1.0473121372784011,1.1055,0.0,,0.37569322428778607,-1.0473121372784011,91.91691942968924,38.554948416221194,0.0,True
0.038,0.7319643352832033,1.110130475503346,1.1055,0.0,,0.37353566471679667,-1.110130475503346,91.164870023209,38.58531539506581,0.0,True
0.04,0.7342468911448008,1.172309617971969,1.1055,0.0,,0.37125310885519913,-1.172309617971969,90.38318601710381,38.6076742043839,0.0,True
0.042,0.7366531565262008,1.233841200963278,1.1055,0.0,,0.36884684347379915,-1.233841200963278,89.57222115472798,38.624136703227805,0.0,True
0.044,0.7391818321080035,1.2947210318380993,1.1055,0.0,,0.36631816789199645,-1.2947210318380993,88.73231877870342,38.63625782579431,0.0,True
0.046,0.741831613240487,1.354947967236334,1.1055,0.0,,0.36366838675951296,-1.354947967236334,87.86381365296401,38.6451824497937,0.0,True
0.048,0.7446011952149021,1.4145230873508219,1.1055,0.0,,0.36089880478509784,-1.4145230873508219,86.96703331453162,38.65175353370886,0.0,True
0.05,0.7474892771017152,1.4734490881958409,1.1055,0.0,,0.35801072289828473,-1.4734490881958409,86.04229907892596,38.65659173684471,0.0,True
0.052000000000000005,0.7504945645341908,1.5317298343795427,1.1055,0.0,,0.3550054354658091,-1.5317298343795427,85.08992679043756,38.66015404252912,0.0,True
0.054,0.7536157717159135,1.5893700300507023,1.1055,0.0,,0.3518842282840864,-1.5893700300507023,84.11022738443518,38.662776921608994,0.0,True
